关键词1,关键词2,链路强度值,链接强度分类
numerical-control winding,paper conveying,4.166666666666667,强链接
numerical-control winding,pipe winding mandrel,4.166666666666667,强链接
blade wear reduction,sharpness retention,4.166666666666667,强链接
camera intrinsic parameters,vanishing point calibration,4.166666666666667,强链接
tangent circle method,vanishing point calibration,4.166666666666667,强链接
camera intrinsic parameters,cross-ratio invariance,4.166666666666667,强链接
cross-ratio invariance,tangent circle method,4.166666666666667,强链接
cross-ratio invariance,vanishing point calibration,4.166666666666667,强链接
curtain wall assembly,fastening assembly,4.166666666666667,强链接
automatic rollover,fastening assembly,4.166666666666667,强链接
automatic rollover,curtain wall assembly,4.166666666666667,强链接
cushion body,flower bed edge,4.166666666666667,强链接
cushion body,volute spiral spring,4.166666666666667,强链接
directional wheels,isosceles divider,4.166666666666667,强链接
flower bed edge,volute spiral spring,4.166666666666667,强链接
hard sucker,suction rod component,4.166666666666667,强链接
suction rod component,wear-resistant material,4.166666666666667,强链接
hard sucker,wear-resistant material,4.166666666666667,强链接
instruction regulation,signal feedback,4.166666666666667,强链接
fan blade,fireproof exhaust,4.166666666666667,强链接
fixing frames,wall-mounted device,4.166666666666667,强链接
charging system,switch configuration,4.166666666666667,强链接
charging system,data plane,4.166666666666667,强链接
data plane,switch configuration,4.166666666666667,强链接
charging system,user flow monitoring,4.166666666666667,强链接
switch configuration,user flow monitoring,4.166666666666667,强链接
data plane,user flow monitoring,4.166666666666667,强链接
arc fold analysis,geological data integration,4.166666666666667,强链接
level gauge,stepping motor,4.166666666666667,强链接
ascending angle control,level gauge,4.166666666666667,强链接
ascending angle control,stepping motor,4.166666666666667,强链接
gripper bar mechanism,paper feeding automation,4.166666666666667,强链接
chamfer design,oil outlet repositioning,4.166666666666667,强链接
chamfer design,surface quality improvement,4.166666666666667,强链接
oil outlet repositioning,surface quality improvement,4.166666666666667,强链接
chamfer design,square ingot crystallization,4.166666666666667,强链接
oil outlet repositioning,square ingot crystallization,4.166666666666667,强链接
square ingot crystallization,surface quality improvement,4.166666666666667,强链接
dynamic model updating,real-time output,4.166666666666667,强链接
digital comparison,image fuzzy analysis,4.166666666666667,强链接
colour difference detection,image fuzzy analysis,4.166666666666667,强链接
colour difference detection,digital comparison,4.166666666666667,强链接
power detection,signal feedback,4.166666666666667,强链接
instruction regulation,power detection,4.166666666666667,强链接
marine algae salvage,surface cleaning cutter,4.166666666666667,强链接
self-propulsion,surface cleaning cutter,4.166666666666667,强链接
marine algae salvage,self-propulsion,4.166666666666667,强链接
chives harvester,isosceles divider,4.166666666666667,强链接
chives harvester,directional wheels,4.166666666666667,强链接
clutch-brake system,multi-stage transmission,4.166666666666667,强链接
protective enclosure,telecommunication signal,4.166666666666667,强链接
aerial data collection,telecommunication signal,4.166666666666667,强链接
atmospheric environment monitoring,wind power testing,4.166666666666667,强链接
atmospheric environment monitoring,foliated rotating wheel,4.166666666666667,强链接
foliated rotating wheel,wind power testing,4.166666666666667,强链接
laser extinction smoke meter,real-time zero drift correction,4.166666666666667,强链接
laser extinction smoke meter,plane mirror alignment,4.166666666666667,强链接
bearing notch,blocking part,4.166666666666667,强链接
blocking part,swing rod,4.166666666666667,强链接
plane mirror alignment,real-time zero drift correction,4.166666666666667,强链接
laser extinction smoke meter,motorized cross rod,4.166666666666667,强链接
motorized cross rod,real-time zero drift correction,4.166666666666667,强链接
motorized cross rod,plane mirror alignment,4.166666666666667,强链接
die clamping,wedge blocks,4.166666666666667,强链接
complex modulation signal,diversity gain,4.166666666666667,强链接
metal frame,paper bobbin conveying,4.166666666666667,强链接
floating frame mechanism,synchronous motion,4.166666666666667,强链接
metal frame,synchronous motion,4.166666666666667,强链接
paper bobbin conveying,synchronous motion,4.166666666666667,强链接
circular tube,cotter pin,4.166666666666667,强链接
cotter pin,rubber body,4.166666666666667,强链接
GPS-denied environment,optical flow sensing,4.166666666666667,强链接
GPS-denied environment,aerial vehicle velocity,4.166666666666667,强链接
back light source,main light source,4.166666666666667,强链接
automatic cloth inspection,back light source,4.166666666666667,强链接
automatic cloth inspection,main light source,4.166666666666667,强链接
circular tube,rubber body,4.166666666666667,强链接
cask body milling,slot milling mechanism,4.166666666666667,强链接
burglarproof lock,clamping shaft,4.166666666666667,强链接
burglarproof lock,cam lock core,4.166666666666667,强链接
cam lock core,clamping shaft,4.166666666666667,强链接
flow control,valve displacement,4.166666666666667,强链接
electrophoresis preparation,material tube notch,4.166666666666667,强链接
material tube notch,reshaping roller,4.166666666666667,强链接
electrophoresis preparation,reshaping roller,4.166666666666667,强链接
flight error correction,optical flow sensing,4.166666666666667,强链接
aerial vehicle velocity,flight error correction,4.166666666666667,强链接
aerial vehicle velocity,optical flow sensing,4.166666666666667,强链接
GPS-denied environment,flight error correction,4.166666666666667,强链接
camera surveillance,health monitoring,4.166666666666667,强链接
GNSS tracking,local signal processing,4.166666666666667,强链接
camera surveillance,local signal processing,4.166666666666667,强链接
health monitoring,local signal processing,4.166666666666667,强链接
door assembly,unlocking handle,4.166666666666667,强链接
GNSS tracking,camera surveillance,4.166666666666667,强链接
burglarproof lock,energy storage tension spring,4.166666666666667,强链接
clamping shaft,energy storage tension spring,4.166666666666667,强链接
floating frame mechanism,metal frame,4.166666666666667,强链接
floating frame mechanism,paper bobbin conveying,4.166666666666667,强链接
protective enclosure,self-preservation system,4.166666666666667,强链接
aerial data collection,self-preservation system,4.166666666666667,强链接
aerial data collection,protective enclosure,4.166666666666667,强链接
self-preservation system,telecommunication signal,4.166666666666667,强链接
360-degree camera,drone integration,4.166666666666667,强链接
detection radar,unmanned car,4.166666666666667,强链接
detection radar,drone integration,4.166666666666667,强链接
aircraft escape exit,emergency release,4.166666666666667,强链接
door assembly,emergency release,4.166666666666667,强链接
emergency release,unlocking handle,4.166666666666667,强链接
automated conveying,press cutter mechanism,4.166666666666667,强链接
automated conveying,circuit board clamping,4.166666666666667,强链接
circuit board clamping,press cutter mechanism,4.166666666666667,强链接
aircraft escape exit,door assembly,4.166666666666667,强链接
aircraft escape exit,unlocking handle,4.166666666666667,强链接
GNSS tracking,health monitoring,4.166666666666667,强链接
360-degree camera,detection radar,4.166666666666667,强链接
automatic patrolling,oil well monitoring,4.166666666666667,强链接
oil well monitoring,onboard computer,4.166666666666667,强链接
automatic patrolling,onboard computer,4.166666666666667,强链接
aerial inspection,oil well monitoring,4.166666666666667,强链接
aerial inspection,automatic patrolling,4.166666666666667,强链接
aerial inspection,onboard computer,4.166666666666667,强链接
drop test,tension rope system,4.166666666666667,强链接
aircraft posture control,tension rope system,4.166666666666667,强链接
drop test,five-degree-of-freedom,4.166666666666667,强链接
aircraft posture control,five-degree-of-freedom,4.166666666666667,强链接
five-degree-of-freedom,tension rope system,4.166666666666667,强链接
elevation platform,infrared shutter,4.166666666666667,强链接
fire behavior monitoring,thermal infrared imaging,4.166666666666667,强链接
adjustable fin plates,collision-resistant UAV,4.166666666666667,强链接
adjustable fin plates,agricultural protection,4.166666666666667,强链接
agricultural protection,collision-resistant UAV,4.166666666666667,强链接
cutter clamping,driving cylinder,4.166666666666667,强链接
driving cylinder,guide track,4.166666666666667,强链接
cutter clamping,guide track,4.166666666666667,强链接
antiskid rubber,insulating glove,4.166666666666667,强链接
antiskid rubber,electric heating wire,4.166666666666667,强链接
electric heating wire,insulating glove,4.166666666666667,强链接
antiskid rubber,finger protection sleeve,4.166666666666667,强链接
finger protection sleeve,insulating glove,4.166666666666667,强链接
electric heating wire,finger protection sleeve,4.166666666666667,强链接
adjustable screw,template settlement,4.166666666666667,强链接
level bubble,template settlement,4.166666666666667,强链接
adjustable screw,level bubble,4.166666666666667,强链接
crank mechanism,furnace door,4.166666666666667,强链接
fire behavior monitoring,fire extinguishing bags,4.166666666666667,强链接
fire extinguishing bags,thermal infrared imaging,4.166666666666667,强链接
UAV fire detection,fire behavior monitoring,4.166666666666667,强链接
crank mechanism,transmission handle,4.166666666666667,强链接
furnace door,tail double-lug,4.166666666666667,强链接
tail double-lug,transmission handle,4.166666666666667,强链接
crank mechanism,tail double-lug,4.166666666666667,强链接
balanced flight,cross-beam mounting,4.166666666666667,强链接
balanced flight,dual liquid boxes,4.166666666666667,强链接
cask body milling,edge arc surface milling,4.166666666666667,强链接
edge arc surface milling,slot milling mechanism,4.166666666666667,强链接
aircraft posture control,drop test,4.166666666666667,强链接
telescopic probing beam,temporary support,4.166666666666667,强链接
hanging device,telescopic probing beam,4.166666666666667,强链接
hanging device,temporary support,4.166666666666667,强链接
hydraulic system,telescopic probing beam,4.166666666666667,强链接
hydraulic system,temporary support,4.166666666666667,强链接
hanging device,hydraulic system,4.166666666666667,强链接
UAV fire detection,thermal infrared imaging,4.166666666666667,强链接
UAV fire detection,fire extinguishing bags,4.166666666666667,强链接
multi-plane tracking,ultrasonic imaging,4.166666666666667,强链接
thermal insulation plate,vertical copper pipes,4.166666666666667,强链接
thermal insulation plate,uniform heat exchange,4.166666666666667,强链接
uniform heat exchange,vertical copper pipes,4.166666666666667,强链接
blade heat exchanger,thermal insulation plate,4.166666666666667,强链接
blade heat exchanger,vertical copper pipes,4.166666666666667,强链接
blade heat exchanger,uniform heat exchange,4.166666666666667,强链接
rotation hair brush,venturi tube,4.166666666666667,强链接
rectification plate,venturi tube,4.166666666666667,强链接
UAV integration,balanced flight,4.166666666666667,强链接
pyramidal mandril,robotic fixture,4.166666666666667,强链接
cam lock core,energy storage tension spring,4.166666666666667,强链接
runway slope,terrain-aware system,4.166666666666667,强链接
adaptive piloting,flare phase control,4.166666666666667,强链接
adaptive piloting,runway slope,4.166666666666667,强链接
automatic exposure,high-speed transmission,4.166666666666667,强链接
automatic exposure,environmental sensing,4.166666666666667,强链接
environmental sensing,high-speed transmission,4.166666666666667,强链接
adaptive piloting,terrain-aware system,4.166666666666667,强链接
inner cone cavity,pyramidal mandril,4.166666666666667,强链接
NMRI quality,micro-processing system,4.166666666666667,强链接
automatic landing guide,vertical motion prediction,4.166666666666667,强链接
NMRI quality,magnet temperature monitoring,4.166666666666667,强链接
magnet temperature monitoring,micro-processing system,4.166666666666667,强链接
deck motion compensation,vertical motion prediction,4.166666666666667,强链接
flare phase control,runway slope,4.166666666666667,强链接
flare phase control,terrain-aware system,4.166666666666667,强链接
rapid acceleration,two-way catapult,4.166666666666667,强链接
speed-changing winch,two-way catapult,4.166666666666667,强链接
rapid acceleration,speed-changing winch,4.166666666666667,强链接
deck motion compensation,real-time tracking,4.166666666666667,强链接
machining stability,positioning structure,4.166666666666667,强链接
rectification plate,rotation hair brush,4.166666666666667,强链接
cutting tool adjustment,splitting shaft,4.166666666666667,强链接
splitting shaft,support printing band,4.166666666666667,强链接
cutting tool adjustment,support printing band,4.166666666666667,强链接
marking tool positioning,splitting shaft,4.166666666666667,强链接
cutting tool adjustment,marking tool positioning,4.166666666666667,强链接
marking tool positioning,support printing band,4.166666666666667,强链接
bilateral pressing,power response leveling,4.166666666666667,强链接
garlic manipulation,power response leveling,4.166666666666667,强链接
bilateral pressing,garlic manipulation,4.166666666666667,强链接
3D heart model,multi-plane tracking,4.166666666666667,强链接
3D heart model,real-time heart views,4.166666666666667,强链接
plant propagation technology,precision cutting,4.166666666666667,强链接
data chain communication,remote operation,4.166666666666667,强链接
base station integration,remote operation,4.166666666666667,强链接
base station integration,data chain communication,4.166666666666667,强链接
plastic suction machine,vacuum shaft,4.166666666666667,强链接
oil switching valve,plane cam mechanism,4.166666666666667,强链接
high-pressure nitrogen,oil switching valve,4.166666666666667,强链接
high-pressure nitrogen,plane cam mechanism,4.166666666666667,强链接
automatic compression,machining stability,4.166666666666667,强链接
automatic compression,transmission device,4.166666666666667,强链接
machining stability,transmission device,4.166666666666667,强链接
automatic compression,positioning structure,4.166666666666667,强链接
positioning structure,transmission device,4.166666666666667,强链接
drone integration,unmanned car,4.166666666666667,强链接
360-degree camera,unmanned car,4.166666666666667,强链接
spring-loaded stabilization,vacuum shaft,4.166666666666667,强链接
sealing efficiency,sterilization kettle,4.166666666666667,强链接
lower cover device,sealing efficiency,4.166666666666667,强链接
push-pull driving,sealing efficiency,4.166666666666667,强链接
adaptive charging board,photovoltaic power,4.166666666666667,强链接
adaptive charging board,multi-UAV charging,4.166666666666667,强链接
multi-UAV charging,photovoltaic power,4.166666666666667,强链接
adaptive charging board,wireless charging,4.166666666666667,强链接
photovoltaic power,wireless charging,4.166666666666667,强链接
real-time heart views,ultrasonic imaging,4.166666666666667,强链接
multi-plane tracking,real-time heart views,4.166666666666667,强链接
3D heart model,ultrasonic imaging,4.166666666666667,强链接
oil switching valve,piston energy accumulator,4.166666666666667,强链接
piston energy accumulator,plane cam mechanism,4.166666666666667,强链接
high-pressure nitrogen,piston energy accumulator,4.166666666666667,强链接
energy-saving mechanism,sealing ring technology,4.166666666666667,强链接
hydraulic oil injection,sealing ring technology,4.166666666666667,强链接
energy-saving mechanism,vertical column protection,4.166666666666667,强链接
hydraulic oil injection,vertical column protection,4.166666666666667,强链接
sealing ring technology,vertical column protection,4.166666666666667,强链接
inner cone cavity,thrust bearing,4.166666666666667,强链接
inner cone cavity,robotic fixture,4.166666666666667,强链接
pyramidal mandril,thrust bearing,4.166666666666667,强链接
material passageway,swing rod,4.166666666666667,强链接
plastic suction machine,spring-loaded stabilization,4.166666666666667,强链接
automatic fixture,vacuum shaft,4.166666666666667,强链接
automatic fixture,spring-loaded stabilization,4.166666666666667,强链接
automatic fixture,plastic suction machine,4.166666666666667,强链接
lower cover device,sterilization kettle,4.166666666666667,强链接
push-pull driving,sterilization kettle,4.166666666666667,强链接
lower cover device,push-pull driving,4.166666666666667,强链接
cross-beam mounting,dual liquid boxes,4.166666666666667,强链接
UAV integration,cross-beam mounting,4.166666666666667,强链接
UAV integration,dual liquid boxes,4.166666666666667,强链接
MIMO technology,diversity gain,4.166666666666667,强链接
complex modulation signal,space-time coding,4.166666666666667,强链接
MIMO technology,complex modulation signal,4.166666666666667,强链接
MIMO technology,space-time coding,4.166666666666667,强链接
automatic die mounting,wedge blocks,4.166666666666667,强链接
diversity gain,space-time coding,4.166666666666667,强链接
automatic die mounting,die clamping,4.166666666666667,强链接
automatic landing guide,deck motion compensation,4.166666666666667,强链接
real-time tracking,vertical motion prediction,4.166666666666667,强链接
furnace door,transmission handle,4.166666666666667,强链接
porthole test,programmable logic,4.166666666666667,强链接
industrial control,programmable logic,4.166666666666667,强链接
industrial control,porthole test,4.166666666666667,强链接
starter drives,variable speed axle,4.166666666666667,强链接
bearing notch,swing rod,4.166666666666667,强链接
blocking part,material passageway,4.166666666666667,强链接
compressing device,fixed mold,4.166666666666667,强链接
compressing device,negative pressure demolding,4.166666666666667,强链接
contour line extraction,vegetation-covered surface,4.166666666666667,强链接
3D coordinate analysis,vegetation-covered surface,4.166666666666667,强链接
3D coordinate analysis,contour line extraction,4.166666666666667,强链接
3D radar,airborne target monitoring,4.142857142857143,强链接
flight tables,rotor speed regulation,4.142857142857143,强链接
avian tracking,target trajectory,4.142857142857143,强链接
3D radar,target trajectory,4.142857142857143,强链接
airborne target monitoring,avian tracking,4.142857142857143,强链接
cam actuated brake,servo driven piston,4.142857142857143,强链接
hydraulic master cylinder,servo driven piston,4.142857142857143,强链接
electronic flight control,rotor speed management,4.142857142857143,强链接
automatic modes,rotor speed management,4.142857142857143,强链接
target trajectory,volume scanning,4.142857142857143,强链接
servo driven piston,tensioner pulley,4.142857142857143,强链接
hydraulic master cylinder,servo driven cam,4.142857142857143,强链接
cam actuated brake,servo driven cam,4.142857142857143,强链接
servo driven cam,tensioner pulley,4.142857142857143,强链接
automatic modes,rotor speed regulation,4.142857142857143,强链接
airborne target monitoring,volume scanning,4.142857142857143,强链接
electronic flight control,rotor speed regulation,4.142857142857143,强链接
flight tables,rotor speed management,4.142857142857143,强链接
multistage transmission,planetary gear set,4.138888888888889,强链接
hollow shell,spiral propeller tank,4.125,强链接
hollow shell,long-endurance system,4.125,强链接
long-endurance system,spiral propeller tank,4.125,强链接
feather collecting,negative pressure fan,4.111111111111111,强链接
feather collecting,washing-dewatering machine,4.111111111111111,强链接
clutch brake system,lightweight design,4.103448275862069,强链接
chemical toughening,cooling efficiency,4.1,强链接
cooling efficiency,preheating annealing,4.1,强链接
dual clutch system,meshing mechanism,4.1,强链接
boxing machine,crank connection rod,4.1,强链接
automatic doffer,telescopic arm,4.1,强链接
boxing machine,filling transmission,4.1,强链接
cylindrical gears,parallel shaft systems,4.1,强链接
document alignment,vibrating device,4.1,强链接
collection frame,vibrating device,4.1,强链接
air pollution index,command transmission,4.1,强链接
multi-gear transmission,parallel shaft systems,4.1,强链接
UAV-based sensing,command transmission,4.1,强链接
3D spatial visualization,command transmission,4.1,强链接
3D model analysis,multi-projective-plane,4.1,强链接
boxing machine,linear motion control,4.1,强链接
cylindrical gears,shift elements,4.1,强链接
multi-gear transmission,shift elements,4.1,强链接
printer automation,vibrating device,4.1,强链接
spindle blade,telescopic arm,4.1,强链接
bobbin prying mechanism,telescopic arm,4.1,强链接
automatic correction,fixed core clamping,4.1,强链接
3D model analysis,critical morphological characteristics,4.1,强链接
3D model analysis,motion object recognition,4.1,强链接
labor efficiency,overturning tire rack,4.1,强链接
boxing machine,crank-connecting rod mechanism,4.1,强链接
gas protection welding,labor efficiency,4.1,强链接
automatic correction,wheel hub processing,4.1,强链接
crane mechanism,labor efficiency,4.1,强链接
dual clutch system,electric motor switching,4.1,强链接
electric motor switching,hybrid transmission,4.1,强链接
feeding device,intelligent controller,4.1,强链接
intelligent controller,roll tray mechanism,4.1,强链接
hybrid transmission,meshing mechanism,4.1,强链接
baking tray mechanism,intelligent controller,4.1,强链接
continuous processing,cooling efficiency,4.1,强链接
soil water sampling,telescopic device,4.076923076923077,强链接
air cylinder control,rail wagon assembly,4.071428571428571,强链接
air cylinder control,weld gun clamping,4.071428571428571,强链接
detachable connection,spray unit,4.071428571428571,强链接
detachable connection,folding mechanism,4.071428571428571,强链接
planetary gear mechanism,shift stage control,4.059523809523809,强链接
high-definition camera,image recognition,4.055555555555555,强链接
hydraulic cylinder,integrated machining,4.055555555555555,强链接
clamping device,inclined block mechanism,4.055555555555555,强链接
planetary gear mechanism,power transmission efficiency,4.054347826086956,强链接
clutch mechanism,starter,4.05,强链接
clutch mechanism,volute spring,4.05,强链接
pesticide spraying,remote control,4.04,强链接
compact design,power transmission,4.0359712230215825,强链接
frictional elements,planetary gear train,3.9571428571428573,强链接
attitude sensing,micromechanical sensor,3.9375,强链接
attitude sensing,positional information,3.9375,强链接
attitude sensing,pulse code control,3.9375,强链接
attitude sensing,electronic speed regulation,3.9375,强链接
attitude sensing,flight controller,3.9375,强链接
attitude sensing,height measurement,3.9375,强链接
aerial photography,landmark detection,3.909090909090909,强链接
clutch brake system,planetary gear mechanism,3.8969072164948453,强链接
PWM signal,wireless communication,3.892857142857143,强链接
planetary gear train,transfer gears,3.8904109589041096,强链接
aerial monitoring,mechanical arm,3.8846153846153846,强链接
control plane,load balancing,3.875,强链接
control plane,user plane,3.875,强链接
planetary gear sets,transmission ratio range,3.857142857142857,强链接
clutch mechanism,planetary gear mechanism,3.8469387755102042,强链接
lifting mechanism,movable scrubbing,3.8333333333333335,强链接
lifting mechanism,nested frame,3.8333333333333335,强链接
coupling mechanism,planetary gear mechanism,3.8295454545454546,强链接
air cylinder piston,rotating mechanism,3.7857142857142856,强链接
dynamic reconfiguration,fault detection,3.7857142857142856,强链接
fault detection,independent vanes,3.7857142857142856,强链接
intermittent rotation,rotating mechanism,3.7857142857142856,强链接
automatic collection,vacuum pump,3.7857142857142856,强链接
spindle motor,variable speed cylinder,3.7857142857142856,强链接
beer barrel filling,rotating mechanism,3.7857142857142856,强链接
numerical control lathe,spindle motor,3.7857142857142856,强链接
rocker arm mechanism,suction cup frame,3.7857142857142856,强链接
rocker arm mechanism,rotary lifting,3.7857142857142856,强链接
adaptive maneuvering,fault detection,3.7857142857142856,强链接
automatic washing,distance measuring,3.7857142857142856,强链接
automatic collection,chick embryo fluid,3.7857142857142856,强链接
rocker arm mechanism,vacuum pump integration,3.7857142857142856,强链接
automatic speed regulation,symmetrical planetary cutting,3.75,强链接
automatic speed regulation,double-blade cutting,3.75,强链接
double-pinion planetary gear,friction loss reduction,3.75,强链接
friction loss reduction,rotating member coupling,3.75,强链接
PLC controlled cutting,automatic speed regulation,3.75,强链接
floating table,transmission accuracy,3.75,强链接
integrated transmission,lightweight design,3.731707317073171,强链接
automatic locating,pneumatic clamping,3.7,强链接
electromagnetic control,stepless gas valve,3.7,强链接
automatic locating,inclined plane push rod,3.7,强链接
automatic locating,multi-cylinder system,3.7,强链接
arbitration mechanism,reliability enhancement,3.7,强链接
real-time data processing,unmanned plane camera,3.7,强链接
automatic detachment,plate cutting,3.7,强链接
3D rotation angles,feature extraction,3.7,强链接
perpendicular arrangement,transmission shaft,3.7,强链接
pancake folding,transmission shaft,3.7,强链接
aircraft systems,dynamic maintenance adaptation,3.7,强链接
arbitration mechanism,dual-redundancy,3.7,强链接
automatic detachment,cold pressing,3.7,强链接
electromagnetic control,slider regulation,3.7,强链接
cutter positioning,inclined plane mechanism,3.7,强链接
gear shaping,inclined plane mechanism,3.7,强链接
electromagnetic control,selective air outlet,3.7,强链接
attitude detection,feature extraction,3.7,强链接
image acquisition,unmanned plane camera,3.7,强链接
backward movement,planetary gear,3.6885245901639343,强链接
hub housing,planetary gear,3.6885245901639343,强链接
parallel shafts,planetary gear train,3.647887323943662,强链接
folding wings,twist link control,3.625,强链接
folding wings,gas spring actuation,3.625,强链接
resource adjustment,user plane,3.625,强链接
automatic allocation,load balancing,3.625,强链接
automatic allocation,user plane,3.625,强链接
load balancing,resource adjustment,3.625,强链接
data acquisition,torque loading,3.6206896551724137,强链接
fuel efficiency,mechanical brake,3.6206896551724137,强链接
fuel efficiency,power diffluence,3.6206896551724137,强链接
LabVIEW software,data acquisition,3.6206896551724137,强链接
fuel efficiency,hydraulic hybrid,3.6206896551724137,强链接
air cylinder mechanism,piston rod movement,3.611111111111111,强链接
air cylinder mechanism,automatic oiling,3.611111111111111,强链接
air cylinder mechanism,grease application,3.611111111111111,强链接
electric motor,tool installation,3.5833333333333335,强链接
tangential force measurement,tool installation,3.5833333333333335,强链接
cross beam displacement,electric motor,3.5833333333333335,强链接
cross beam displacement,tangential force measurement,3.5833333333333335,强链接
electric motor,tangential force measurement,3.5833333333333335,强链接
cross beam displacement,vertical displacement,3.5833333333333335,强链接
electric motor,vertical displacement,3.5833333333333335,强链接
tangential force measurement,vertical displacement,3.5833333333333335,强链接
reducer,tool installation,3.5833333333333335,强链接
cross beam displacement,reducer,3.5833333333333335,强链接
tool installation,vertical displacement,3.5833333333333335,强链接
automated loading,cross beam displacement,3.5833333333333335,强链接
automated loading,electric motor,3.5833333333333335,强链接
automated loading,tangential force measurement,3.5833333333333335,强链接
thermal stabilization,vertical displacement,3.5833333333333335,强链接
reducer,thermal stabilization,3.5833333333333335,强链接
thermal stabilization,tool installation,3.5833333333333335,强链接
UAV launch tube,rotational constraint,3.5833333333333335,强链接
automated loading,thermal stabilization,3.5833333333333335,强链接
automated loading,vertical displacement,3.5833333333333335,强链接
automated loading,reducer,3.5833333333333335,强链接
automated loading,tool installation,3.5833333333333335,强链接
cross beam displacement,thermal stabilization,3.5833333333333335,强链接
electric motor,thermal stabilization,3.5833333333333335,强链接
tangential force measurement,thermal stabilization,3.5833333333333335,强链接
reducer,vertical displacement,3.5833333333333335,强链接
electric motor,reducer,3.5833333333333335,强链接
reducer,tangential force measurement,3.5833333333333335,强链接
cross beam displacement,tool installation,3.5833333333333335,强链接
automatic agitation,servo motor,3.576923076923077,强链接
excrement agitator,servo motor,3.576923076923077,强链接
imaging plane determination,orthogonal imaging planes,3.5714285714285716,强链接
automatic pasting,material positioning,3.5714285714285716,强链接
orthogonal plane arrangement,trajectory-based imaging,3.5714285714285716,强链接
buoyant fuselage,compartmentalized design,3.5714285714285716,强链接
compartmentalized design,waterproof components,3.5714285714285716,强链接
material positioning,plane pressing,3.5714285714285716,强链接
dotted pressing,material positioning,3.5714285714285716,强链接
feeding rollers,material positioning,3.5714285714285716,强链接
orthogonal imaging planes,reference coordinate system,3.5714285714285716,强链接
orthogonal imaging planes,percutaneous intervention visualization,3.5714285714285716,强链接
orthogonal plane arrangement,percutaneous intervention visualization,3.5714285714285716,强链接
orthogonal plane arrangement,reference coordinate system,3.5714285714285716,强链接
compartmentalized design,drainage system,3.5714285714285716,强链接
amphibious UAV,compartmentalized structure,3.5714285714285716,强链接
compartmentalized structure,drainage system,3.5714285714285716,强链接
compartmentalized structure,waterproof components,3.5714285714285716,强链接
amphibious UAV,compartmentalized design,3.5714285714285716,强链接
buoyant fuselage,compartmentalized structure,3.5714285714285716,强链接
imaging plane determination,orthogonal plane arrangement,3.5714285714285716,强链接
orthogonal imaging planes,trajectory-based imaging,3.5714285714285716,强链接
control plane,resource allocation,3.5625,强链接
multistage transmission,planetary gear,3.5441176470588234,强链接
cloud-based node,metadata integration,3.5,强链接
UAV video feed,cloud-based node,3.5,强链接
slice plane translation,user interface interaction,3.5,强链接
3D ultrasound,slice plane translation,3.5,强链接
3D ultrasound,user interface interaction,3.5,强链接
measure point fusion,vibration data,3.5,强链接
fault recognition,vibration data,3.5,强链接
ANFIS algorithm,vibration data,3.5,强链接
environmental geotechnics,rainfall illumination integration,3.5,强链接
climate parameter sensor,rainfall illumination integration,3.5,强链接
hydraulic support,sealing mechanism,3.5,强链接
cavitation elimination,sealing mechanism,3.5,强链接
metadata integration,video stream distribution,3.5,强链接
UAV video feed,video stream distribution,3.5,强链接
UAV video feed,metadata integration,3.5,强链接
cloud-based node,video stream distribution,3.5,强链接
cavitation elimination,hydraulic support,3.5,强链接
hen house layout,trapezoidal coop,3.5,强链接
automated packaging,pipe sleeve,3.5,强链接
light intensity control,trapezoidal coop,3.5,强链接
hen house layout,light intensity control,3.5,强链接
automated poultry management,light intensity control,3.5,强链接
tilt measurement,triaxial acceleration sensor,3.5,强链接
buoy terminal,triaxial acceleration sensor,3.5,强链接
dispersion screen,vibration exciter,3.5,强链接
bouncing sorting,vibration exciter,3.5,强链接
camellia fruit processing,dispersion screen,3.5,强链接
gear shaft integration,vector shifting assembly,3.5,强链接
gear shaft integration,programmable automation,3.5,强链接
gear shaft integration,rubber cutting machine,3.5,强链接
programmable automation,vector shifting assembly,3.5,强链接
rubber cutting machine,vector shifting assembly,3.5,强链接
programmable automation,rubber cutting machine,3.5,强链接
bouncing sorting,camellia fruit processing,3.5,强链接
bouncing sorting,dispersion screen,3.5,强链接
mosaic arrangement,precision paving,3.5,强链接
precise orientation,sliding rail integration,3.5,强链接
curvilinear guide rail,sliding rail integration,3.5,强链接
sliding rail integration,valve ball positioning,3.5,强链接
curvilinear guide rail,precise orientation,3.5,强链接
fault recognition,measure point fusion,3.5,强链接
ANFIS algorithm,measure point fusion,3.5,强链接
airspeed sensor,data radio,3.5,强链接
submerged vehicle deployment,unmanned aerial launch,3.5,强链接
lighter-than-air envelope,unmanned aerial launch,3.5,强链接
automated poultry management,trapezoidal coop,3.5,强链接
automated poultry management,hen house layout,3.5,强链接
CMOS image sensor,distance identification,3.5,强链接
precise orientation,valve ball positioning,3.5,强链接
curvilinear guide rail,valve ball positioning,3.5,强链接
coordinate conversion,geologic visualization,3.5,强链接
coordinate conversion,excavation analysis,3.5,强链接
catalog system,coordinate conversion,3.5,强链接
excavation analysis,geologic visualization,3.5,强链接
catalog system,geologic visualization,3.5,强链接
catalog system,excavation analysis,3.5,强链接
lighter-than-air envelope,submerged vehicle deployment,3.5,强链接
friction drive reduction,load twisting force,3.5,强链接
multi-step threads,tension spring,3.5,强链接
load twisting force,multi-step threads,3.5,强链接
load twisting force,tension spring,3.5,强链接
