source,target,weight
automatic polishing,robotic fixture,1
automatic polishing,thrust bearing,1
inner cone cavity,robotic fixture,1
inner cone cavity,thrust bearing,1
robotic fixture,thrust bearing,1
air cylinder pressing,multi-plane processing,1
V-shaped iron fixture,air cylinder pressing,1
air cylinder pressing,automatic reversing clamp,1
air cylinder pressing,indexing control,1
V-shaped iron fixture,multi-plane processing,1
automatic reversing clamp,multi-plane processing,1
indexing control,multi-plane processing,1
V-shaped iron fixture,automatic reversing clamp,1
V-shaped iron fixture,indexing control,1
automatic reversing clamp,indexing control,1
planetary reducer,pressure adjustment,1
pressure adjustment,synchronous belt,1
pressure adjustment,servo motor,1
PLC control,pressure adjustment,1
planetary reducer,synchronous belt,1
planetary reducer,servo motor,1
PLC control,planetary reducer,1
servo motor,synchronous belt,1
PLC control,synchronous belt,1
PLC control,servo motor,1
automatic line assembly,transmission belt,1
hoisting cylinder,transmission belt,1
platform limiting plate,transmission belt,1
solar assembling frame,transmission belt,1
automatic line assembly,hoisting cylinder,1
automatic line assembly,platform limiting plate,1
automatic line assembly,solar assembling frame,1
hoisting cylinder,platform limiting plate,1
hoisting cylinder,solar assembling frame,1
platform limiting plate,solar assembling frame,1
air hole design,suction head,1
air hole design,manipulator integration,1
air hole design,vacuum adsorption,1
air hole design,label automation,1
manipulator integration,suction head,1
suction head,vacuum adsorption,1
label automation,suction head,1
manipulator integration,vacuum adsorption,1
label automation,manipulator integration,1
label automation,vacuum adsorption,1
screen printing device,self-cleaning function,1
conveying belt cleaning,self-cleaning function,1
pollution sizing removal,self-cleaning function,1
automatic wiping,self-cleaning function,1
conveying belt cleaning,screen printing device,1
pollution sizing removal,screen printing device,1
automatic wiping,screen printing device,1
conveying belt cleaning,pollution sizing removal,1
automatic wiping,conveying belt cleaning,1
automatic wiping,pollution sizing removal,1
cam mechanism,magnetic sheet container,1
automatic stacking,magnetic sheet container,1
disc transformer,magnetic sheet container,1
clamping groove,magnetic sheet container,1
automatic stacking,cam mechanism,1
cam mechanism,disc transformer,1
cam mechanism,clamping groove,1
automatic stacking,disc transformer,1
automatic stacking,clamping groove,1
clamping groove,disc transformer,1
push-pull loading,slide rail,1
ground station system,push-pull loading,1
embedding groove,push-pull loading,1
push-pull loading,unmanned plane,1
ground station system,slide rail,1
embedding groove,slide rail,1
slide rail,unmanned plane,1
embedding groove,ground station system,1
ground station system,unmanned plane,1
embedding groove,unmanned plane,1
autonomous connection release,control plane signaling,1
control plane signaling,network capability indication,1
WTRU communication,control plane signaling,1
MTC data transmission,control plane signaling,1
autonomous connection release,network capability indication,1
WTRU communication,autonomous connection release,1
MTC data transmission,autonomous connection release,1
WTRU communication,network capability indication,1
MTC data transmission,network capability indication,1
MTC data transmission,WTRU communication,1
deployable airfoil,leading edge spar,1
automatic locking mechanism,deployable airfoil,1
deployable airfoil,flexible skin wing,1
deployable airfoil,morphing aircraft structure,1
automatic locking mechanism,leading edge spar,1
flexible skin wing,leading edge spar,1
leading edge spar,morphing aircraft structure,1
automatic locking mechanism,flexible skin wing,1
automatic locking mechanism,morphing aircraft structure,1
flexible skin wing,morphing aircraft structure,1
adaptive piloting,terrain-aware system,1
adaptive piloting,runway slope,1
adaptive piloting,automatic landing,1
adaptive piloting,flare phase control,1
runway slope,terrain-aware system,1
automatic landing,terrain-aware system,1
flare phase control,terrain-aware system,1
automatic landing,runway slope,1
flare phase control,runway slope,1
automatic landing,flare phase control,1
automatic positioning,seal alignment,1
automatic positioning,valve rod,1
automatic positioning,three-eccentric butterfly valve,1
automatic positioning,flyout prevention,1
seal alignment,valve rod,1
seal alignment,three-eccentric butterfly valve,1
flyout prevention,seal alignment,1
three-eccentric butterfly valve,valve rod,1
flyout prevention,valve rod,1
flyout prevention,three-eccentric butterfly valve,1
bearing design,wear-resistant surface,1
long-term function,wear-resistant surface,1
automatic alignment,wear-resistant surface,1
hot-dip plating,wear-resistant surface,1
bearing design,long-term function,1
automatic alignment,bearing design,1
bearing design,hot-dip plating,1
automatic alignment,long-term function,1
hot-dip plating,long-term function,1
automatic alignment,hot-dip plating,1
grinding wheel,grooved wheel,1
grooved wheel,winch operation,1
grooved wheel,tail rope management,1
automatic controller,grooved wheel,1
grinding wheel,winch operation,1
grinding wheel,tail rope management,1
automatic controller,grinding wheel,1
tail rope management,winch operation,1
automatic controller,winch operation,1
automatic controller,tail rope management,1
absorbent cotton,oil gas drainage,1
oil gas drainage,siphon effect,1
automatic water discharge,oil gas drainage,1
energy efficiency,oil gas drainage,1
absorbent cotton,siphon effect,1
absorbent cotton,automatic water discharge,1
absorbent cotton,energy efficiency,1
automatic water discharge,siphon effect,1
energy efficiency,siphon effect,1
automatic water discharge,energy efficiency,1
flange face orientation,mechanical arm adjustment,1
image plane centering,mechanical arm adjustment,1
mechanical arm adjustment,vector calculation,1
automatic alignment,mechanical arm adjustment,1
flange face orientation,image plane centering,1
flange face orientation,vector calculation,1
automatic alignment,flange face orientation,1
image plane centering,vector calculation,1
automatic alignment,image plane centering,1
automatic alignment,vector calculation,1
UAV control,flight safety,1
UAV control,electronic compass,1
UAV control,object detection,1
UAV control,distance measurement,1
electronic compass,flight safety,1
flight safety,object detection,1
distance measurement,flight safety,1
electronic compass,object detection,1
distance measurement,electronic compass,1
distance measurement,object detection,1
gearing control,rotational speed,1
motor-generator,rotational speed,1
friction elements,rotational speed,1
planetary gear,rotational speed,1
gearing control,motor-generator,1
friction elements,gearing control,1
gearing control,planetary gear,1
friction elements,motor-generator,1
motor-generator,planetary gear,1
friction elements,planetary gear,2
energy conduit,vehicle power independence,1
fuel cell integration,vehicle power independence,1
autonomous seat,vehicle power independence,1
passenger comfort enhancement,vehicle power independence,1
energy conduit,fuel cell integration,1
autonomous seat,energy conduit,1
energy conduit,passenger comfort enhancement,1
autonomous seat,fuel cell integration,1
fuel cell integration,passenger comfort enhancement,1
autonomous seat,passenger comfort enhancement,1
non-contact sensing,signal transmission,1
inductive probe,non-contact sensing,1
contour detection,non-contact sensing,1
automatic polishing control,non-contact sensing,1
inductive probe,signal transmission,1
contour detection,signal transmission,1
automatic polishing control,signal transmission,1
contour detection,inductive probe,1
automatic polishing control,inductive probe,1
automatic polishing control,contour detection,1
structural part,telescopic device,1
equidistant positioning,telescopic device,1
telescopic device,thread bolt,1
center positioning,telescopic device,1
equidistant positioning,structural part,1
structural part,thread bolt,1
center positioning,structural part,1
equidistant positioning,thread bolt,1
center positioning,equidistant positioning,1
center positioning,thread bolt,1
compact base,testing card,1
compact base,efficient contact,1
compact base,needle cleaning,1
automatic device,compact base,1
efficient contact,testing card,1
needle cleaning,testing card,1
automatic device,testing card,1
efficient contact,needle cleaning,1
automatic device,efficient contact,1
automatic device,needle cleaning,1
mobile workstation,portable design,1
portable design,unmanned aerial vehicle,1
flight data processing,portable design,1
portable design,real-time monitoring,1
mobile workstation,unmanned aerial vehicle,1
flight data processing,mobile workstation,1
mobile workstation,real-time monitoring,1
flight data processing,unmanned aerial vehicle,1
real-time monitoring,unmanned aerial vehicle,2
flight data processing,real-time monitoring,1
accumulator plate group,film pressing mechanism,1
continuous supply,film pressing mechanism,1
film cutting device,film pressing mechanism,1
automatic conveying,film pressing mechanism,1
accumulator plate group,continuous supply,1
accumulator plate group,film cutting device,1
accumulator plate group,automatic conveying,1
continuous supply,film cutting device,1
automatic conveying,continuous supply,1
automatic conveying,film cutting device,1
annular cable truss,spatial stress performance,1
fish-bellied truss,spatial stress performance,1
spatial stress performance,support rod integration,1
architectural stability,spatial stress performance,1
annular cable truss,fish-bellied truss,1
annular cable truss,support rod integration,1
annular cable truss,architectural stability,1
fish-bellied truss,support rod integration,1
architectural stability,fish-bellied truss,1
architectural stability,support rod integration,1
automatic coating integration,simple structure automation,1
guiding mechanism,simple structure automation,1
battery case conveyor,simple structure automation,1
pole group manipulator,simple structure automation,1
automatic coating integration,guiding mechanism,1
automatic coating integration,battery case conveyor,1
automatic coating integration,pole group manipulator,1
battery case conveyor,guiding mechanism,1
guiding mechanism,pole group manipulator,1
battery case conveyor,pole group manipulator,1
electric controller,high-pressure rubber sac,1
high-pressure rubber sac,motor support,1
automatic tension compensator,high-pressure rubber sac,1
high-pressure rubber sac,hydraulic oil cylinder,1
electric controller,motor support,1
automatic tension compensator,electric controller,1
electric controller,hydraulic oil cylinder,1
automatic tension compensator,motor support,1
hydraulic oil cylinder,motor support,1
automatic tension compensator,hydraulic oil cylinder,1
automatic valve adjustment,sensor integration,1
sensor integration,smart ventilation system,1
air quality management,sensor integration,1
computer-controlled flue,sensor integration,1
automatic valve adjustment,smart ventilation system,1
air quality management,automatic valve adjustment,1
automatic valve adjustment,computer-controlled flue,1
air quality management,smart ventilation system,1
computer-controlled flue,smart ventilation system,1
air quality management,computer-controlled flue,1
image fuzzy analysis,machine vision,1
colour difference detection,image fuzzy analysis,1
digital comparison,image fuzzy analysis,1
automatic sorting,image fuzzy analysis,1
colour difference detection,machine vision,1
digital comparison,machine vision,1
automatic sorting,machine vision,1
colour difference detection,digital comparison,1
automatic sorting,colour difference detection,1
automatic sorting,digital comparison,1
automatic foothold,railway passenger access,1
automatic foothold,support structure,1
automatic foothold,linear movement,1
automatic foothold,height alignment,1
railway passenger access,support structure,1
linear movement,railway passenger access,1
height alignment,railway passenger access,1
linear movement,support structure,1
height alignment,support structure,1
height alignment,linear movement,1
automatic switching,planetary gear reducer,1
automatic switching,electric operation,1
automatic switching,dual-mode actuation,1
automatic switching,manual operation,1
electric operation,planetary gear reducer,1
dual-mode actuation,planetary gear reducer,1
manual operation,planetary gear reducer,1
dual-mode actuation,electric operation,1
electric operation,manual operation,1
dual-mode actuation,manual operation,1
NC machining,tool path optimization,1
NC machining,double circular arc,1
NC machining,spiral interpolation,1
NC machining,trimming deflashing,1
double circular arc,tool path optimization,1
spiral interpolation,tool path optimization,1
tool path optimization,trimming deflashing,1
double circular arc,spiral interpolation,1
double circular arc,trimming deflashing,1
spiral interpolation,trimming deflashing,1
cylinder control,multi-purpose device,1
cylinder control,pneumatic lifting,1
automatic positioning,cylinder control,1
cylinder control,transportable equipment,1
multi-purpose device,pneumatic lifting,1
automatic positioning,multi-purpose device,1
multi-purpose device,transportable equipment,1
automatic positioning,pneumatic lifting,1
pneumatic lifting,transportable equipment,1
automatic positioning,transportable equipment,1
line capture device,rotor arm,1
joint coupling,rotor arm,1
rotor arm,unmanned aircraft,1
ratchet mechanism,rotor arm,1
mahjong tile,rotary disk,1
automatic cleaning,rotary disk,1
U-shaped tool,rotary disk,1
rotary disk,separation blade,1
automatic cleaning,mahjong tile,1
U-shaped tool,mahjong tile,1
mahjong tile,separation blade,1
U-shaped tool,automatic cleaning,1
automatic cleaning,separation blade,1
U-shaped tool,separation blade,1
RF transceiver chip,emergency signal,1
RF transceiver chip,unmanned patrol aircraft,1
RF transceiver chip,wireless sensor network,1
RF transceiver chip,route control,1
emergency signal,unmanned patrol aircraft,1
emergency signal,wireless sensor network,1
emergency signal,route control,1
unmanned patrol aircraft,wireless sensor network,1
route control,unmanned patrol aircraft,1
route control,wireless sensor network,1
keyboard assembly,robotic automation,1
keyboard assembly,precision motion,1
ball screw mechanism,keyboard assembly,1
keyboard assembly,servo motor control,1
precision motion,robotic automation,1
ball screw mechanism,robotic automation,1
robotic automation,servo motor control,1
ball screw mechanism,precision motion,1
precision motion,servo motor control,1
ball screw mechanism,servo motor control,1
hydraulic jack,rock anchor system,1
hydraulic jack,inclined shaft slipform,1
automatic balance,hydraulic jack,1
hydraulic jack,rotating traction lift,1
inclined shaft slipform,rock anchor system,1
automatic balance,rock anchor system,1
rock anchor system,rotating traction lift,1
automatic balance,inclined shaft slipform,1
inclined shaft slipform,rotating traction lift,1
automatic balance,rotating traction lift,1
floating alloy knife,inclined drum conveyor,1
bag breaking machine,inclined drum conveyor,1
automatic bag processing,inclined drum conveyor,1
flat drum conveyor,inclined drum conveyor,1
bag breaking machine,floating alloy knife,1
automatic bag processing,floating alloy knife,1
flat drum conveyor,floating alloy knife,1
automatic bag processing,bag breaking machine,1
bag breaking machine,flat drum conveyor,1
automatic bag processing,flat drum conveyor,1
image capture device,rotational jig control,1
chamfering measurement,image capture device,1
automatic transmission,image capture device,1
45-degree inclination,image capture device,1
chamfering measurement,rotational jig control,1
automatic transmission,rotational jig control,1
45-degree inclination,rotational jig control,1
automatic transmission,chamfering measurement,1
45-degree inclination,chamfering measurement,1
45-degree inclination,automatic transmission,1
automatic pipe sorting,guide plate mechanism,1
bobbins arranging,guide plate mechanism,1
guide plate mechanism,sliding seat assembly,1
guide plate mechanism,single bobbin exit,1
automatic pipe sorting,bobbins arranging,1
automatic pipe sorting,sliding seat assembly,1
automatic pipe sorting,single bobbin exit,1
bobbins arranging,sliding seat assembly,1
bobbins arranging,single bobbin exit,1
single bobbin exit,sliding seat assembly,1
tethered power supply,unmanned helicopter,1
extended flight duration,unmanned helicopter,1
heavy-load capability,unmanned helicopter,1
multi-rotor-wing,unmanned helicopter,1
extended flight duration,tethered power supply,1
heavy-load capability,tethered power supply,1
multi-rotor-wing,tethered power supply,1
extended flight duration,heavy-load capability,1
extended flight duration,multi-rotor-wing,1
heavy-load capability,multi-rotor-wing,1
filling transmission,reciprocating motion,1
crank connection rod,filling transmission,1
boxing machine,filling transmission,1
filling transmission,planetary gear system,1
crank connection rod,reciprocating motion,1
boxing machine,reciprocating motion,1
planetary gear system,reciprocating motion,1
boxing machine,crank connection rod,1
crank connection rod,planetary gear system,1
boxing machine,planetary gear system,1
automatic cloth pressing,safety enhancement,1
automatic cloth pressing,sewing machine accessory,1
automatic cloth pressing,tension control,1
automatic cloth pressing,sliding mechanism,1
safety enhancement,sewing machine accessory,1
safety enhancement,tension control,1
safety enhancement,sliding mechanism,1
sewing machine accessory,tension control,1
sewing machine accessory,sliding mechanism,1
sliding mechanism,tension control,1
automatic gumming,glue dispensing,1
automatic gumming,transfer pump integration,1
automatic gumming,rotating platform,1
automatic gumming,piston rod mechanism,1
glue dispensing,transfer pump integration,1
glue dispensing,rotating platform,1
glue dispensing,piston rod mechanism,1
rotating platform,transfer pump integration,1
piston rod mechanism,transfer pump integration,1
piston rod mechanism,rotating platform,1
crankshaft damping,engine compactness,1
engine compactness,hydraulic tensioner,1
belt wheel system,engine compactness,1
accessory miniaturization,engine compactness,1
crankshaft damping,hydraulic tensioner,1
belt wheel system,crankshaft damping,1
accessory miniaturization,crankshaft damping,1
belt wheel system,hydraulic tensioner,1
accessory miniaturization,hydraulic tensioner,1
accessory miniaturization,belt wheel system,1
high-rise fire suppression,unmanned aerial vehicle,1
high-rise fire suppression,photoelectric detection,1
high-rise fire suppression,microcomputer control,1
fire rescue,high-rise fire suppression,1
microcomputer control,unmanned aerial vehicle,1
fire rescue,unmanned aerial vehicle,1
microcomputer control,photoelectric detection,1
fire rescue,photoelectric detection,1
fire rescue,microcomputer control,1
automatic transmission,compact design,5
clutch integration,compact design,1
compact design,power distribution,2
compact design,five-gear planetary,1
automatic transmission,clutch integration,1
automatic transmission,power distribution,1
automatic transmission,five-gear planetary,1
clutch integration,power distribution,1
clutch integration,five-gear planetary,1
five-gear planetary,power distribution,1
circular wafer orientation,sapphire crystal detection,1
circular wafer orientation,semi-automatic detector,1
atomic plane reflectivity,circular wafer orientation,1
X-ray diffraction,circular wafer orientation,1
sapphire crystal detection,semi-automatic detector,1
atomic plane reflectivity,sapphire crystal detection,1
X-ray diffraction,sapphire crystal detection,1
atomic plane reflectivity,semi-automatic detector,1
X-ray diffraction,semi-automatic detector,1
X-ray diffraction,atomic plane reflectivity,1
flight controller,pulse code control,1
attitude sensing,pulse code control,1
positional information,pulse code control,1
electronic speed regulation,pulse code control,1
height measurement,pulse code control,1
micromechanical sensor,pulse code control,1
brushless motor,pulse code control,1
attitude sensing,flight controller,1
flight controller,positional information,1
electronic speed regulation,flight controller,1
flight controller,height measurement,1
flight controller,micromechanical sensor,1
brushless motor,flight controller,1
attitude sensing,positional information,1
attitude sensing,electronic speed regulation,1
attitude sensing,height measurement,1
attitude sensing,micromechanical sensor,1
attitude sensing,brushless motor,1
electronic speed regulation,positional information,1
height measurement,positional information,1
micromechanical sensor,positional information,1
brushless motor,positional information,1
electronic speed regulation,height measurement,1
electronic speed regulation,micromechanical sensor,1
brushless motor,electronic speed regulation,1
height measurement,micromechanical sensor,1
brushless motor,height measurement,1
brushless motor,micromechanical sensor,1
concrete feed system,self-discharging hopper,1
crane placement,self-discharging hopper,1
automatic turning plate,self-discharging hopper,1
self-discharging hopper,smooth bottom surface,1
concrete feed system,crane placement,1
automatic turning plate,concrete feed system,1
concrete feed system,smooth bottom surface,1
automatic turning plate,crane placement,1
crane placement,smooth bottom surface,1
automatic turning plate,smooth bottom surface,1
locating block,vertical lift plate,1
square box,vertical lift plate,1
film sticking,vertical lift plate,1
inclined positioning,vertical lift plate,1
locating block,square box,1
film sticking,locating block,1
inclined positioning,locating block,1
film sticking,square box,1
inclined positioning,square box,1
film sticking,inclined positioning,1
sensor integration,transmission control,1
motor generator synchronization,transmission control,1
adaptive fluid pressure,transmission control,1
friction element management,transmission control,1
motor generator synchronization,sensor integration,1
adaptive fluid pressure,sensor integration,1
friction element management,sensor integration,1
adaptive fluid pressure,motor generator synchronization,1
friction element management,motor generator synchronization,1
adaptive fluid pressure,friction element management,1
intelligent monitoring,obstacle detection,1
intelligent monitoring,safety algorithm,1
door control,intelligent monitoring,1
camera vision,intelligent monitoring,1
door control,obstacle detection,1
camera vision,obstacle detection,1
door control,safety algorithm,1
camera vision,safety algorithm,1
camera vision,door control,1
automatic segmentation,volumetric data processing,1
automatic segmentation,sagittal plane identification,1
CT imaging data,automatic segmentation,1
automatic segmentation,object support removal,1
sagittal plane identification,volumetric data processing,1
CT imaging data,volumetric data processing,1
object support removal,volumetric data processing,1
CT imaging data,sagittal plane identification,1
object support removal,sagittal plane identification,1
CT imaging data,object support removal,1
complex gear integration,drag torque reduction,1
automatic transmission,complex gear integration,1
complex gear integration,planetary gear device,1
complex gear integration,power transfer efficiency,1
automatic transmission,drag torque reduction,1
drag torque reduction,planetary gear device,1
drag torque reduction,power transfer efficiency,1
automatic transmission,planetary gear device,2
automatic transmission,power transfer efficiency,1
planetary gear device,power transfer efficiency,1
conductive contacts,flexible flat cable,1
U-shaped structure,flexible flat cable,1
flexible flat cable,folding parts,1
flexible flat cable,stack part,1
U-shaped structure,conductive contacts,1
conductive contacts,folding parts,1
conductive contacts,stack part,1
U-shaped structure,folding parts,1
U-shaped structure,stack part,1
folding parts,stack part,1
online monitoring,ultrasonic transmitter,1
ultrasonic transmitter,water processor,1
scale removal,ultrasonic transmitter,1
pollution discharge,ultrasonic transmitter,1
online monitoring,water processor,1
online monitoring,scale removal,1
online monitoring,pollution discharge,1
scale removal,water processor,1
pollution discharge,water processor,1
pollution discharge,scale removal,1
UAV empennage,connecting rod,1
UAV empennage,pressing block,1
UAV empennage,tubular cavity,1
UAV empennage,hinge mechanism,1
connecting rod,pressing block,1
connecting rod,tubular cavity,1
connecting rod,hinge mechanism,1
pressing block,tubular cavity,1
hinge mechanism,pressing block,1
hinge mechanism,tubular cavity,1
real-time calculation,smart parachute,1
real-time calculation,wind parameter analysis,1
GPS positioning,real-time calculation,1
real-time calculation,wireless telecom marking,1
smart parachute,wind parameter analysis,1
GPS positioning,smart parachute,1
smart parachute,wireless telecom marking,1
GPS positioning,wind parameter analysis,1
wind parameter analysis,wireless telecom marking,1
GPS positioning,wireless telecom marking,1
air cylinder actuator,swing arm mechanism,1
swing arm mechanism,vertical shaft alignment,1
automatic packer,swing arm mechanism,1
air cylinder actuator,vertical shaft alignment,1
air cylinder actuator,automatic packer,1
air cylinder actuator,crank arm lifting,1
automatic packer,vertical shaft alignment,1
crank arm lifting,vertical shaft alignment,1
automatic packer,crank arm lifting,1
demoulding handle,temperature resistance,1
adhesive force optimization,temperature resistance,1
hollow ring structure,temperature resistance,1
temperature resistance,welding rod design,1
adhesive force optimization,demoulding handle,1
demoulding handle,hollow ring structure,1
demoulding handle,welding rod design,1
adhesive force optimization,hollow ring structure,1
adhesive force optimization,welding rod design,1
hollow ring structure,welding rod design,1
gun controller,operation efficiency,1
digitalized antiaircraft gun,gun controller,1
displacement sensor,gun controller,1
gun controller,remote command center,1
digitalized antiaircraft gun,operation efficiency,1
displacement sensor,operation efficiency,1
operation efficiency,remote command center,1
digitalized antiaircraft gun,displacement sensor,1
digitalized antiaircraft gun,remote command center,1
displacement sensor,remote command center,1
gap calculation,punch press,1
abrasion detection,punch press,1
descent distance,punch press,1
contactor measurement,punch press,1
abrasion detection,gap calculation,1
descent distance,gap calculation,1
contactor measurement,gap calculation,1
abrasion detection,descent distance,1
abrasion detection,contactor measurement,1
contactor measurement,descent distance,1
annular assembling plate,planetary gear arrangement,1
annular assembling plate,transmission compactness,1
annular assembling plate,gear set positioning,1
annular assembling plate,assemblability improvement,1
planetary gear arrangement,transmission compactness,1
gear set positioning,planetary gear arrangement,1
assemblability improvement,planetary gear arrangement,1
gear set positioning,transmission compactness,1
assemblability improvement,transmission compactness,1
assemblability improvement,gear set positioning,1
clutch-brake system,compact design,2
compact design,planetary gear mechanism,2
clutch-brake system,multistage transmission,1
multistage transmission,power distribution,1
multistage transmission,planetary gear mechanism,1
clutch-brake system,power distribution,1
clutch-brake system,planetary gear mechanism,4
planetary gear mechanism,power distribution,1
dismounting structure,rotor wing,1
rotor wing,unmanned aerial vehicle,1
rapid mounting,rotor wing,1
connecting element,rotor wing,1
dismounting structure,unmanned aerial vehicle,1
dismounting structure,rapid mounting,1
connecting element,dismounting structure,1
rapid mounting,unmanned aerial vehicle,1
connecting element,unmanned aerial vehicle,1
connecting element,rapid mounting,1
adjustable support pillar,dual functionality,1
automatic box gluing,dual functionality,1
dual functionality,inclined plane,1
dual functionality,telescopic sleeve,1
adjustable support pillar,automatic box gluing,1
adjustable support pillar,inclined plane,1
adjustable support pillar,telescopic sleeve,1
automatic box gluing,inclined plane,1
automatic box gluing,telescopic sleeve,1
inclined plane,telescopic sleeve,1
non-plane contact,stress concentration reduction,1
curved surface boss,stress concentration reduction,1
automatic centering,stress concentration reduction,1
reinforced fastening,stress concentration reduction,1
curved surface boss,non-plane contact,1
automatic centering,non-plane contact,1
non-plane contact,reinforced fastening,1
automatic centering,curved surface boss,1
curved surface boss,reinforced fastening,1
automatic centering,reinforced fastening,1
burrs removal,slot cutter,1
burrs removal,obtuse angle intersection,1
burrs removal,cutting edge geometry,1
aluminium alloy processing,burrs removal,1
obtuse angle intersection,slot cutter,1
cutting edge geometry,slot cutter,1
aluminium alloy processing,slot cutter,1
cutting edge geometry,obtuse angle intersection,1
aluminium alloy processing,obtuse angle intersection,1
aluminium alloy processing,cutting edge geometry,1
differential pressure sensing,line filter,1
backflushing mechanism,line filter,1
automatic blowdown,line filter,1
line filter,micro measuring,1
backflushing mechanism,differential pressure sensing,1
automatic blowdown,differential pressure sensing,1
differential pressure sensing,micro measuring,1
automatic blowdown,backflushing mechanism,1
backflushing mechanism,micro measuring,1
automatic blowdown,micro measuring,1
AMR coding,TD-LTE communication,1
TD-LTE communication,voice service implementation,1
TD-LTE communication,effective channel utilization,1
TD-LTE communication,packet header reduction,1
AMR coding,voice service implementation,1
AMR coding,effective channel utilization,1
AMR coding,packet header reduction,1
effective channel utilization,voice service implementation,1
packet header reduction,voice service implementation,1
effective channel utilization,packet header reduction,1
greapel wheel,precision counting,1
adjustable funnel,greapel wheel,1
elastic scraper,greapel wheel,1
greapel wheel,seed counter,1
adjustable funnel,precision counting,1
elastic scraper,precision counting,1
precision counting,seed counter,1
adjustable funnel,elastic scraper,1
adjustable funnel,seed counter,1
elastic scraper,seed counter,1
automatic leveling,tower stereo garage,1
automatic leveling,guide rail system,1
automatic leveling,pedal support,1
automatic leveling,electric push rod,1
guide rail system,tower stereo garage,1
pedal support,tower stereo garage,1
electric push rod,tower stereo garage,1
guide rail system,pedal support,1
electric push rod,guide rail system,1
electric push rod,pedal support,1
diamond-shaped beam,sensitivity-enhancing groove,1
sensitivity-enhancing groove,vibration arm,1
sensitivity-enhancing groove,temperature compensation,1
fiber bragg grating,sensitivity-enhancing groove,1
diamond-shaped beam,vibration arm,1
diamond-shaped beam,temperature compensation,1
diamond-shaped beam,fiber bragg grating,1
temperature compensation,vibration arm,1
fiber bragg grating,vibration arm,1
fiber bragg grating,temperature compensation,1
anti-snow photovoltaic,one-dimensional tracking,1
automatic telescoping,one-dimensional tracking,1
one-dimensional tracking,optimal incidence angle,1
one-dimensional tracking,stroke adjustment,1
anti-snow photovoltaic,automatic telescoping,1
anti-snow photovoltaic,optimal incidence angle,1
anti-snow photovoltaic,stroke adjustment,1
automatic telescoping,optimal incidence angle,1
automatic telescoping,stroke adjustment,1
optimal incidence angle,stroke adjustment,1
automatic angle adjustment,microprocessor control,1
automatic angle adjustment,heat dissipation enhancement,1
automatic angle adjustment,notebook lifter,1
automatic angle adjustment,pressure induction,1
heat dissipation enhancement,microprocessor control,1
microprocessor control,notebook lifter,1
microprocessor control,pressure induction,1
heat dissipation enhancement,notebook lifter,1
heat dissipation enhancement,pressure induction,1
notebook lifter,pressure induction,1
guide bar positioning,high-precision measuring,1
belt-push mechanism,guide bar positioning,1
continuous measurement,guide bar positioning,1
adjustable beam,guide bar positioning,1
belt-push mechanism,high-precision measuring,1
continuous measurement,high-precision measuring,1
adjustable beam,high-precision measuring,1
belt-push mechanism,continuous measurement,1
adjustable beam,belt-push mechanism,1
adjustable beam,continuous measurement,1
position detection,touch display,1
position detection,temperature control,1
intelligent adjustment,position detection,1
data storage,position detection,1
temperature control,touch display,1
intelligent adjustment,touch display,1
data storage,touch display,1
intelligent adjustment,temperature control,1
data storage,temperature control,1
data storage,intelligent adjustment,1
automatic flame-out,fire-extinguishing tank,1
electromagnetic valve,fire-extinguishing tank,1
fire-extinguishing tank,oil depot safety,1
fire-extinguishing tank,underground drainage,1
automatic flame-out,electromagnetic valve,1
automatic flame-out,oil depot safety,1
automatic flame-out,underground drainage,1
electromagnetic valve,oil depot safety,1
electromagnetic valve,underground drainage,1
oil depot safety,underground drainage,1
ground power supply,power transmission,1
power transmission,unmanned aerial vehicle,2
mooring system,power transmission,1
multi-rotor-wing,power transmission,1
ground power supply,unmanned aerial vehicle,1
ground power supply,mooring system,1
ground power supply,multi-rotor-wing,1
mooring system,unmanned aerial vehicle,1
multi-rotor-wing,unmanned aerial vehicle,1
mooring system,multi-rotor-wing,1
adaptive stair navigation,power-driven mobility,1
power-driven mobility,seat balance mechanism,1
power-driven mobility,stair-climbing wheelchair,1
planet wheel assembly,power-driven mobility,1
adaptive stair navigation,seat balance mechanism,1
adaptive stair navigation,stair-climbing wheelchair,1
adaptive stair navigation,planet wheel assembly,1
seat balance mechanism,stair-climbing wheelchair,1
planet wheel assembly,seat balance mechanism,1
planet wheel assembly,stair-climbing wheelchair,1
air suction synchronization,atomizing sheet,1
air suction synchronization,micro atomizer,1
air suction synchronization,handheld device,1
air suction synchronization,touch switch mechanism,1
atomizing sheet,micro atomizer,1
atomizing sheet,handheld device,1
atomizing sheet,touch switch mechanism,1
handheld device,micro atomizer,1
micro atomizer,touch switch mechanism,1
handheld device,touch switch mechanism,1
adjustable length,surgical microscope stand,1
adjustable length,pivotable carrier arm,1
adjustable length,motorized drive,1
adjustable length,remote control,1
pivotable carrier arm,surgical microscope stand,1
motorized drive,surgical microscope stand,1
remote control,surgical microscope stand,1
motorized drive,pivotable carrier arm,1
pivotable carrier arm,remote control,1
motorized drive,remote control,1
inner hole brushing,work platform,1
automatic deburring,inner hole brushing,1
inner hole brushing,power head assembly,1
inner hole brushing,plane brushing,1
automatic deburring,work platform,1
power head assembly,work platform,1
plane brushing,work platform,1
automatic deburring,power head assembly,1
automatic deburring,plane brushing,1
